match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71770520,2,6,31,3,5.166666666666667,0,156,Lahore Qalandars SRL
71770524,1,6,52,1,8.666666666666666,0,187,Islamabad United SRL
71770524,2,6,63,0,10.5,0,188,Rawalpindiz Srl
71770526,1,6,52,0,8.666666666666666,0,195,Multan Sultans SRL
71770526,2,6,54,3,9.0,0,183,Karachi Kings SRL
71770528,1,6,41,3,6.833333333333333,0,181,Peshawar Zalmi SRL
71770528,2,6,50,1,8.333333333333334,0,184,Lahore Qalandars SRL
71770530,1,6,44,0,7.333333333333333,0,153,Quetta Gladiators SRL
71770530,2,6,70,0,11.666666666666666,0,156,Hyderabad Kingsmen Srl
71770532,1,6,47,3,7.833333333333333,0,160,Islamabad United SRL
71770532,2,6,55,1,9.166666666666666,0,152,Lahore Qalandars SRL
71770534,1,6,28,4,4.666666666666667,0,148,Hyderabad Kingsmen Srl
71770534,2,6,62,1,10.333333333333334,0,151,Karachi Kings SRL
71770536,1,6,37,2,6.166666666666667,0,196,Multan Sultans SRL
71770536,2,6,57,0,9.5,0,200,Quetta Gladiators SRL
71770538,1,6,71,0,11.833333333333334,0,240,Rawalpindiz Srl
71770538,2,6,55,3,9.166666666666666,0,154,Peshawar Zalmi SRL
71770540,1,6,61,2,10.166666666666666,0,160,Hyderabad Kingsmen Srl
71770540,2,6,32,2,5.333333333333333,0,162,Islamabad United SRL
71770542,1,6,46,0,7.666666666666667,0,163,Chennai Super Kings SRL
71770542,2,6,54,1,9.0,0,168,Sunrisers Hyderabad SRL
71770544,1,6,43,1,7.166666666666667,0,154,Delhi Capitals SRL
71770544,2,6,24,3,4.0,0,153,Royal Challengers Bangalore SRL
71770546,1,6,30,2,5.0,0,177,Gujarat Titans SRL
71770546,2,6,39,1,6.5,0,164,Rajasthan Royals SRL
71770548,1,6,35,1,5.833333333333333,0,169,Punjab Kings SRL
71770548,2,6,43,1,7.166666666666667,0,173,Kolkata Knight Riders SRL
71770550,1,6,28,2,4.666666666666667,0,141,Lucknow Super Giants SRL
71770550,2,6,54,1,9.0,0,144,Mumbai Indians SRL
71770552,1,6,39,2,6.5,0,157,Royal Challengers Bangalore SRL
71770552,2,6,54,0,9.0,0,158,Chennai Super Kings SRL
71770554,1,6,52,3,8.666666666666666,0,162,Delhi Capitals SRL
71770554,2,6,49,0,8.166666666666666,0,164,Rajasthan Royals SRL
71770556,1,6,64,1,10.666666666666666,0,169,Punjab Kings SRL
71770556,2,6,46,1,7.666666666666667,0,128,Gujarat Titans SRL
71770558,1,6,57,0,9.5,0,178,Mumbai Indians SRL
71770558,2,6,49,1,8.166666666666666,0,180,Kolkata Knight Riders SRL
71770560,1,6,47,1,7.833333333333333,0,171,Lucknow Super Giants SRL
71770560,2,6,56,1,9.333333333333334,0,174,Sunrisers Hyderabad SRL
71770562,1,6,40,1,6.666666666666667,0,195,Chennai Super Kings SRL
71770562,2,6,34,3,5.666666666666667,0,140,Rajasthan Royals SRL
71770564,1,6,71,1,11.833333333333334,0,210,Delhi Capitals SRL
71770564,2,6,63,0,10.5,0,206,Punjab Kings SRL
71770566,1,6,54,1,9.0,0,173,Gujarat Titans SRL
71770566,2,6,40,2,6.666666666666667,0,175,Mumbai Indians SRL
71770568,1,6,70,0,11.666666666666666,0,197,Kolkata Knight Riders SRL
71770568,2,6,34,2,5.666666666666667,0,126,Sunrisers Hyderabad SRL
71770570,1,6,48,2,8.0,0,181,Royal Challengers Bangalore SRL
71770570,2,6,47,1,7.833333333333333,0,183,Lucknow Super Giants SRL
71770572,1,6,45,1,7.5,0,185,Chennai Super Kings SRL
71770572,2,6,47,2,7.833333333333333,0,186,Punjab Kings SRL
71770574,1,6,51,1,8.5,0,180,Mumbai Indians SRL
71770574,2,6,44,1,7.333333333333333,0,147,Delhi Capitals SRL
71770576,1,6,58,1,9.666666666666666,0,202,Gujarat Titans SRL
71770576,2,6,56,1,9.333333333333334,0,195,Sunrisers Hyderabad SRL
71770578,1,6,44,0,7.333333333333333,0,177,Kolkata Knight Riders SRL
71770578,2,6,56,2,9.333333333333334,0,129,Royal Challengers Bangalore SRL
71770580,1,6,59,2,9.833333333333334,0,155,Rajasthan Royals SRL
71770580,2,6,50,1,8.333333333333334,0,157,Lucknow Super Giants SRL
71770582,1,6,62,2,10.333333333333334,0,158,Mumbai Indians SRL
71770582,2,6,69,1,11.5,0,159,Chennai Super Kings SRL
71770602,1,6,41,1,6.833333333333333,0,205,Barbados Royals SRL
71770602,2,6,45,3,7.5,0,189,Guyana Amazon Warriors SRL
71770604,1,6,48,1,8.0,0,186,St Kitts And Nevis Patriots SRL
71770604,2,6,53,0,8.833333333333334,0,179,Antigua And Barbuda Falcons SRL
71770606,1,6,51,4,8.5,0,147,Trinbago Knight Riders SRL
71770606,2,6,61,0,10.166666666666666,0,149,St Lucia Kings SRL
71770608,1,6,60,2,10.0,0,202,Barbados Royals SRL
71770608,2,6,23,4,3.8333333333333335,0,165,St Kitts And Nevis Patriots SRL
71770610,1,6,55,2,9.166666666666666,0,190,Trinbago Knight Riders SRL
71770610,2,6,42,2,7.0,0,139,Antigua And Barbuda Falcons SRL
71770612,1,6,62,1,10.333333333333334,0,174,Guyana Amazon Warriors SRL
71770612,2,6,54,0,9.0,0,176,St Lucia Kings SRL
